/n/home07/gthomas/projects/grampa
# ASTRAL PRO FULL

grampa.py -s /n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/19spec/astral-pro-tree//chelicerate-19spec-astral-pro.rooted.tre -g /n/holylfs05/LABS/informatics/Users/gthomas/spiders/tree/19spec/astral-pro-tree//loci-rearrange-70.rooted.treefile -o /n/holylfs05/LABS/informatics/Users/gthomas/spiders/grampa//19spec/astral-pro-bs70-full/ -c 15 -f astral-pro-bs70-full -p 30
# 03.13.2025  16:23:58  Collapsing gene tree groupings                    MUL-tree # 440 / 1187
# 03.13.2025  16:24:04  Collapsing gene tree groupings                    MUL-tree # 469 / 1187
# 03.13.2025  16:24:09  Collapsing gene tree groupings                    MUL-tree # 499 / 1187
# 03.13.2025  16:24:14  Collapsing gene tree groupings                    MUL-tree # 529 / 1187
# 03.13.2025  16:24:19  Collapsing gene tree groupings                    MUL-tree # 559 / 1187
# 03.13.2025  16:24:25  Collapsing gene tree groupings                    MUL-tree # 588 / 1187
# 03.13.2025  16:24:30  Collapsing gene tree groupings                    MUL-tree # 618 / 1187
# 03.13.2025  16:24:35  Collapsing gene tree groupings                    MUL-tree # 648 / 1187
# 03.13.2025  16:24:41  Collapsing gene tree groupings                    MUL-tree # 678 / 1187
# 03.13.2025  16:24:46  Collapsing gene tree groupings                    MUL-tree # 708 / 1187
# 03.13.2025  16:24:52  Collapsing gene tree groupings                    MUL-tree # 738 / 1187
# 03.13.2025  16:24:58  Collapsing gene tree groupings                    MUL-tree # 772 / 1187
# 03.13.2025  16:25:05  Collapsing gene tree groupings                    MUL-tree # 804 / 1187
# 03.13.2025  16:25:10  Collapsing gene tree groupings                    MUL-tree # 834 / 1187
# 03.13.2025  16:25:18  Collapsing gene tree groupings                    MUL-tree # 864 / 1187
# 03.13.2025  16:25:23  Collapsing gene tree groupings                    MUL-tree # 894 / 1187
# 03.13.2025  16:25:30  Collapsing gene tree groupings                    MUL-tree # 924 / 1187
# 03.13.2025  16:25:36  Collapsing gene tree groupings                    MUL-tree # 956 / 1187
# 03.13.2025  16:25:41  Collapsing gene tree groupings                    MUL-tree # 986 / 1187
# 03.13.2025  16:25:47  Collapsing gene tree groupings                    MUL-tree # 1016 / 1187
# 03.13.2025  16:25:53  Collapsing gene tree groupings                    MUL-tree # 1046 / 1187
# 03.13.2025  16:25:59  Collapsing gene tree groupings                    MUL-tree # 1076 / 1187
# 03.13.2025  16:26:06  Collapsing gene tree groupings                    MUL-tree # 1106 / 1187
# 03.13.2025  16:26:15  Collapsing gene tree groupings                    MUL-tree # 1136 / 1187
# 03.13.2025  16:26:24  Collapsing gene tree groupings                    MUL-tree # 1167 / 1187
# 03.13.2025  16:27:27  Reconciliation                                    MUL-tree # 8 / 1187
# 03.13.2025  16:27:51  Reconciliation                                    MUL-tree # 36 / 1187
# 03.13.2025  16:28:14  Reconciliation                                    MUL-tree # 127 / 1187
# 03.13.2025  16:28:40  Reconciliation                                    MUL-tree # 157 / 1187
# 03.13.2025  16:28:45  Reconciliation                                    MUL-tree # 178 / 1187
# 03.13.2025  16:28:50  Reconciliation                                    MUL-tree # 200 / 1187
# 03.13.2025  16:29:01  Reconciliation                                    MUL-tree # 222 / 1187
# 03.13.2025  16:29:12  Reconciliation                                    MUL-tree # 265 / 1187
# 03.13.2025  16:29:32  Reconciliation                                    MUL-tree # 296 / 1187
# 03.13.2025  16:29:53  Reconciliation                                    MUL-tree # 377 / 1187
# 03.13.2025  16:29:58  Reconciliation                                    MUL-tree # 390 / 1187
# 03.13.2025  16:30:02  Reconciliation                                    MUL-tree # 416 / 1187
# 03.13.2025  16:30:24  Reconciliation                                    MUL-tree # 440 / 1187
# 03.13.2025  16:30:45  Reconciliation                                    MUL-tree # 487 / 1187
# 03.13.2025  16:30:49  Reconciliation                                    MUL-tree # 506 / 1187
# 03.13.2025  16:30:53  Reconciliation                                    MUL-tree # 525 / 1187
# 03.13.2025  16:31:11  Reconciliation                                    MUL-tree # 554 / 1187
# 03.13.2025  16:31:30  Reconciliation                                    MUL-tree # 631 / 1187
# 03.13.2025  16:31:35  Reconciliation                                    MUL-tree # 652 / 1187
# 03.13.2025  16:31:41  Reconciliation                                    MUL-tree # 679 / 1187
# 03.13.2025  16:31:51  Reconciliation                                    MUL-tree # 708 / 1187
# 03.13.2025  16:32:00  Reconciliation                                    MUL-tree # 735 / 1187
# 03.13.2025  16:32:10  Reconciliation                                    MUL-tree # 768 / 1187
# 03.13.2025  16:32:19  Reconciliation                                    MUL-tree # 799 / 1187
# 03.13.2025  16:32:26  Reconciliation                                    MUL-tree # 827 / 1187
# 03.13.2025  16:33:05  Reconciliation                                    MUL-tree # 855 / 1187
# 03.13.2025  16:33:12  Reconciliation                                    MUL-tree # 884 / 1187
# 03.13.2025  16:36:57  Reconciliation                                    MUL-tree # 958 / 1187
# 03.13.2025  16:37:17  Reconciliation                                    MUL-tree # 1001 / 1187
# 03.13.2025  16:37:33  Reconciliation                                    MUL-tree # 1027 / 1187
# 03.13.2025  16:37:44  Reconciliation                                    MUL-tree # 1052 / 1187
# 03.13.2025  16:38:02  Reconciliation                                    MUL-tree # 1079 / 1187
# 03.13.2025  16:38:25  Reconciliation                                    MUL-tree # 1102 / 1187
# 03.13.2025  16:38:43  Reconciliation                                    MUL-tree # 1124 / 1187
# 03.13.2025  16:39:01  Reconciliation                                    MUL-tree # 1148 / 1187
# 03.13.2025  16:39:59  Reconciliation                                    MUL-tree # 1176 / 1187
# 03.13.2025  16:22:44  Collapsing gene tree groupings                    MUL-tree # 20 / 1187
# 03.13.2025  16:22:49  Collapsing gene tree groupings                    MUL-tree # 50 / 1187
# 03.13.2025  16:22:55  Collapsing gene tree groupings                    MUL-tree # 80 / 1187
# 03.13.2025  16:23:00  Collapsing gene tree groupings                    MUL-tree # 110 / 1187
# 03.13.2025  16:23:06  Collapsing gene tree groupings                    MUL-tree # 142 / 1187
# 03.13.2025  16:23:11  Collapsing gene tree groupings                    MUL-tree # 172 / 1187
# 03.13.2025  16:23:16  Collapsing gene tree groupings                    MUL-tree # 202 / 1187
# 03.13.2025  16:23:21  Collapsing gene tree groupings                    MUL-tree # 232 / 1187
# 03.13.2025  16:23:27  Collapsing gene tree groupings                    MUL-tree # 262 / 1187
# 03.13.2025  16:23:32  Collapsing gene tree groupings                    MUL-tree # 291 / 1187
# 03.13.2025  16:23:37  Collapsing gene tree groupings                    MUL-tree # 321 / 1187
# 03.13.2025  16:23:42  Collapsing gene tree groupings                    MUL-tree # 351 / 1187
# 03.13.2025  16:23:48  Collapsing gene tree groupings                    MUL-tree # 381 / 1187
# 03.13.2025  16:23:53  Collapsing gene tree groupings                    MUL-tree # 411 / 1187
# 03.13.2025  16:23:58  Collapsing gene tree groupings                    MUL-tree # 441 / 1187
# 03.13.2025  16:24:04  Collapsing gene tree groupings                    MUL-tree # 471 / 1187
# 03.13.2025  16:24:09  Collapsing gene tree groupings                    MUL-tree # 501 / 1187
# 03.13.2025  16:24:14  Collapsing gene tree groupings                    MUL-tree # 530 / 1187
# 03.13.2025  16:24:20  Collapsing gene tree groupings                    MUL-tree # 560 / 1187
# 03.13.2025  16:24:25  Collapsing gene tree groupings                    MUL-tree # 589 / 1187
# 03.13.2025  16:24:30  Collapsing gene tree groupings                    MUL-tree # 619 / 1187
# 03.13.2025  16:24:35  Collapsing gene tree groupings                    MUL-tree # 649 / 1187
# 03.13.2025  16:24:41  Collapsing gene tree groupings                    MUL-tree # 679 / 1187
# 03.13.2025  16:24:46  Collapsing gene tree groupings                    MUL-tree # 709 / 1187
# 03.13.2025  16:24:52  Collapsing gene tree groupings                    MUL-tree # 739 / 1187
# 03.13.2025  16:24:57  Collapsing gene tree groupings                    MUL-tree # 765 / 1187
# 03.13.2025  16:25:03  Collapsing gene tree groupings                    MUL-tree # 795 / 1187
# 03.13.2025  16:25:08  Collapsing gene tree groupings                    MUL-tree # 825 / 1187
# 03.13.2025  16:25:14  Collapsing gene tree groupings                    MUL-tree # 851 / 1187
# 03.13.2025  16:25:20  Collapsing gene tree groupings                    MUL-tree # 881 / 1187
# 03.13.2025  16:25:27  Collapsing gene tree groupings                    MUL-tree # 911 / 1187
# 03.13.2025  16:25:33  Collapsing gene tree groupings                    MUL-tree # 940 / 1187
# 03.13.2025  16:25:39  Collapsing gene tree groupings                    MUL-tree # 972 / 1187
# 03.13.2025  16:25:45  Collapsing gene tree groupings                    MUL-tree # 1002 / 1187
# 03.13.2025  16:25:50  Collapsing gene tree groupings                    MUL-tree # 1032 / 1187
# 03.13.2025  16:25:56  Collapsing gene tree groupings                    MUL-tree # 1062 / 1187
# 03.13.2025  16:26:03  Collapsing gene tree groupings                    MUL-tree # 1091 / 1187
# 03.13.2025  16:26:11  Collapsing gene tree groupings                    MUL-tree # 1121 / 1187
# 03.13.2025  16:26:20  Collapsing gene tree groupings                    MUL-tree # 1154 / 1187
# 03.13.2025  16:26:31  Collapsing gene tree groupings                    MUL-tree # 1184 / 1187
# 03.13.2025  16:27:29  Reconciliation                                    MUL-tree # 24 / 1187
# 03.13.2025  16:27:53  Reconciliation                                    MUL-tree # 53 / 1187
# 03.13.2025  16:28:01  Reconciliation                                    MUL-tree # 74 / 1187
# 03.13.2025  16:28:09  Reconciliation                                    MUL-tree # 103 / 1187
# 03.13.2025  16:28:15  Reconciliation                                    MUL-tree # 129 / 1187
# 03.13.2025  16:28:40  Reconciliation                                    MUL-tree # 161 / 1187
# 03.13.2025  16:28:46  Reconciliation                                    MUL-tree # 182 / 1187
# 03.13.2025  16:28:51  Reconciliation                                    MUL-tree # 205 / 1187
# 03.13.2025  16:29:02  Reconciliation                                    MUL-tree # 228 / 1187
# 03.13.2025  16:29:07  Reconciliation                                    MUL-tree # 243 / 1187
# 03.13.2025  16:29:13  Reconciliation                                    MUL-tree # 271 / 1187
# 03.13.2025  16:29:32  Reconciliation                                    MUL-tree # 298 / 1187
# 03.13.2025  16:29:36  Reconciliation                                    MUL-tree # 318 / 1187
# 03.13.2025  16:29:41  Reconciliation                                    MUL-tree # 336 / 1187
# 03.13.2025  16:29:49  Reconciliation                                    MUL-tree # 355 / 1187
# 03.13.2025  16:29:57  Reconciliation                                    MUL-tree # 384 / 1187
# 03.13.2025  16:30:01  Reconciliation                                    MUL-tree # 410 / 1187
# 03.13.2025  16:30:24  Reconciliation                                    MUL-tree # 442 / 1187
# 03.13.2025  16:30:46  Reconciliation                                    MUL-tree # 492 / 1187
# 03.13.2025  16:30:50  Reconciliation                                    MUL-tree # 515 / 1187
# 03.13.2025  16:30:54  Reconciliation                                    MUL-tree # 531 / 1187
# 03.13.2025  16:31:12  Reconciliation                                    MUL-tree # 561 / 1187
# 03.13.2025  16:31:17  Reconciliation                                    MUL-tree # 577 / 1187
# 03.13.2025  16:31:21  Reconciliation                                    MUL-tree # 593 / 1187
# 03.13.2025  16:31:27  Reconciliation                                    MUL-tree # 613 / 1187
# 03.13.2025  16:31:33  Reconciliation                                    MUL-tree # 638 / 1187
# 03.13.2025  16:31:38  Reconciliation                                    MUL-tree # 664 / 1187
# 03.13.2025  16:31:43  Reconciliation                                    MUL-tree # 691 / 1187
# 03.13.2025  16:31:53  Reconciliation                                    MUL-tree # 720 / 1187
# 03.13.2025  16:32:03  Reconciliation                                    MUL-tree # 749 / 1187
# 03.13.2025  16:32:12  Reconciliation                                    MUL-tree # 776 / 1187
# 03.13.2025  16:32:20  Reconciliation                                    MUL-tree # 806 / 1187
# 03.13.2025  16:32:26  Reconciliation                                    MUL-tree # 828 / 1187
# 03.13.2025  16:33:05  Reconciliation                                    MUL-tree # 856 / 1187
# 03.13.2025  16:33:12  Reconciliation                                    MUL-tree # 885 / 1187
# 03.13.2025  16:37:00  Reconciliation                                    MUL-tree # 962 / 1187
# 03.13.2025  16:37:06  Reconciliation                                    MUL-tree # 983 / 1187
# 03.13.2025  16:37:23  Reconciliation                                    MUL-tree # 1010 / 1187
# 03.13.2025  16:37:39  Reconciliation                                    MUL-tree # 1048 / 1187
# 03.13.2025  16:37:57  Reconciliation                                    MUL-tree # 1073 / 1187
# 03.13.2025  16:38:15  Reconciliation                                    MUL-tree # 1097 / 1187
# 03.13.2025  16:38:38  Reconciliation                                    MUL-tree # 1121 / 1187
# 03.13.2025  16:39:01  Reconciliation                                    MUL-tree # 1149 / 1187
# 03.13.2025  16:40:00  Reconciliation                                    MUL-tree # 1177 / 1187
# 03.13.2025  16:22:42  Collapsing gene tree groupings                    MUL-tree # 9 / 1187
# 03.13.2025  16:22:47  Collapsing gene tree groupings                    MUL-tree # 39 / 1187
# 03.13.2025  16:22:52  Collapsing gene tree groupings                    MUL-tree # 67 / 1187
# 03.13.2025  16:22:58  Collapsing gene tree groupings                    MUL-tree # 97 / 1187
# 03.13.2025  16:23:03  Collapsing gene tree groupings                    MUL-tree # 127 / 1187
# 03.13.2025  16:23:08  Collapsing gene tree groupings                    MUL-tree # 157 / 1187
# 03.13.2025  16:23:13  Collapsing gene tree groupings                    MUL-tree # 187 / 1187
# 03.13.2025  16:23:18  Collapsing gene tree groupings                    MUL-tree # 214 / 1187
# 03.13.2025  16:23:23  Collapsing gene tree groupings                    MUL-tree # 244 / 1187
# 03.13.2025  16:23:28  Collapsing gene tree groupings                    MUL-tree # 274 / 1187
# 03.13.2025  16:23:34  Collapsing gene tree groupings                    MUL-tree # 304 / 1187
# 03.13.2025  16:23:39  Collapsing gene tree groupings                    MUL-tree # 334 / 1187
# 03.13.2025  16:23:44  Collapsing gene tree groupings                    MUL-tree # 361 / 1187
# 03.13.2025  16:23:50  Collapsing gene tree groupings                    MUL-tree # 391 / 1187
# 03.13.2025  16:23:55  Collapsing gene tree groupings                    MUL-tree # 421 / 1187
# 03.13.2025  16:24:00  Collapsing gene tree groupings                    MUL-tree # 451 / 1187
# 03.13.2025  16:24:06  Collapsing gene tree groupings                    MUL-tree # 481 / 1187
# 03.13.2025  16:24:12  Collapsing gene tree groupings                    MUL-tree # 515 / 1187
# 03.13.2025  16:24:17  Collapsing gene tree groupings                    MUL-tree # 545 / 1187
# 03.13.2025  16:24:22  Collapsing gene tree groupings                    MUL-tree # 575 / 1187
# 03.13.2025  16:24:27  Collapsing gene tree groupings                    MUL-tree # 604 / 1187
# 03.13.2025  16:24:33  Collapsing gene tree groupings                    MUL-tree # 634 / 1187
# 03.13.2025  16:24:38  Collapsing gene tree groupings                    MUL-tree # 664 / 1187
# 03.13.2025  16:24:44  Collapsing gene tree groupings                    MUL-tree # 694 / 1187
# 03.13.2025  16:24:49  Collapsing gene tree groupings                    MUL-tree # 724 / 1187
# 03.13.2025  16:24:55  Collapsing gene tree groupings                    MUL-tree # 754 / 1187
# 03.13.2025  16:25:00  Collapsing gene tree groupings                    MUL-tree # 785 / 1187
# 03.13.2025  16:25:06  Collapsing gene tree groupings                    MUL-tree # 815 / 1187
# 03.13.2025  16:25:13  Collapsing gene tree groupings                    MUL-tree # 845 / 1187
# 03.13.2025  16:25:19  Collapsing gene tree groupings                    MUL-tree # 875 / 1187
# 03.13.2025  16:25:25  Collapsing gene tree groupings                    MUL-tree # 905 / 1187
# 03.13.2025  16:25:32  Collapsing gene tree groupings                    MUL-tree # 937 / 1187
# 03.13.2025  16:25:38  Collapsing gene tree groupings                    MUL-tree # 967 / 1187
# 03.13.2025  16:25:44  Collapsing gene tree groupings                    MUL-tree # 997 / 1187
# 03.13.2025  16:25:49  Collapsing gene tree groupings                    MUL-tree # 1027 / 1187
# 03.13.2025  16:25:55  Collapsing gene tree groupings                    MUL-tree # 1058 / 1187
# 03.13.2025  16:26:03  Collapsing gene tree groupings                    MUL-tree # 1089 / 1187
# 03.13.2025  16:26:10  Collapsing gene tree groupings                    MUL-tree # 1118 / 1187
# 03.13.2025  16:26:18  Collapsing gene tree groupings                    MUL-tree # 1149 / 1187
# 03.13.2025  16:26:28  Collapsing gene tree groupings                    MUL-tree # 1179 / 1187
# 03.13.2025  16:27:29  Reconciliation                                    MUL-tree # 21 / 1187
# 03.13.2025  16:27:52  Reconciliation                                    MUL-tree # 48 / 1187
# 03.13.2025  16:28:00  Reconciliation                                    MUL-tree # 69 / 1187
# 03.13.2025  16:28:08  Reconciliation                                    MUL-tree # 100 / 1187
# 03.13.2025  16:28:14  Reconciliation                                    MUL-tree # 124 / 1187
# 03.13.2025  16:28:39  Reconciliation                                    MUL-tree # 153 / 1187
# 03.13.2025  16:28:46  Reconciliation                                    MUL-tree # 185 / 1187
# 03.13.2025  16:28:51  Reconciliation                                    MUL-tree # 207 / 1187
# 03.13.2025  16:29:02  Reconciliation                                    MUL-tree # 227 / 1187
# 03.13.2025  16:29:07  Reconciliation                                    MUL-tree # 241 / 1187
# 03.13.2025  16:29:12  Reconciliation                                    MUL-tree # 269 / 1187
# 03.13.2025  16:29:32  Reconciliation                                    MUL-tree # 297 / 1187
# 03.13.2025  16:29:36  Reconciliation                                    MUL-tree # 317 / 1187
# 03.13.2025  16:29:41  Reconciliation                                    MUL-tree # 335 / 1187
# 03.13.2025  16:29:48  Reconciliation                                    MUL-tree # 354 / 1187
# 03.13.2025  16:29:56  Reconciliation                                    MUL-tree # 380 / 1187
# 03.13.2025  16:30:01  Reconciliation                                    MUL-tree # 407 / 1187
# 03.13.2025  16:30:05  Reconciliation                                    MUL-tree # 434 / 1187
# 03.13.2025  16:30:51  Reconciliation                                    MUL-tree # 516 / 1187
# 03.13.2025  16:30:55  Reconciliation                                    MUL-tree # 532 / 1187
# 03.13.2025  16:31:11  Reconciliation                                    MUL-tree # 555 / 1187
# 03.13.2025  16:31:31  Reconciliation                                    MUL-tree # 635 / 1187
# 03.13.2025  16:31:36  Reconciliation                                    MUL-tree # 659 / 1187
# 03.13.2025  16:31:41  Reconciliation                                    MUL-tree # 684 / 1187
# 03.13.2025  16:31:51  Reconciliation                                    MUL-tree # 711 / 1187
# 03.13.2025  16:32:01  Reconciliation                                    MUL-tree # 739 / 1187
# 03.13.2025  16:32:09  Reconciliation                                    MUL-tree # 759 / 1187
# 03.13.2025  16:32:17  Reconciliation                                    MUL-tree # 787 / 1187
# 03.13.2025  16:32:24  Reconciliation                                    MUL-tree # 816 / 1187
# 03.13.2025  16:33:03  Reconciliation                                    MUL-tree # 850 / 1187
# 03.13.2025  16:33:10  Reconciliation                                    MUL-tree # 879 / 1187
# 03.13.2025  16:36:10  Reconciliation                                    MUL-tree # 905 / 1187
# 03.13.2025  16:39:07  Reconciliation                                    MUL-tree # 1153 / 1187
# 03.13.2025  16:22:45  Collapsing gene tree groupings                    MUL-tree # 28 / 1187
# 03.13.2025  16:22:51  Collapsing gene tree groupings                    MUL-tree # 58 / 1187
# 03.13.2025  16:22:56  Collapsing gene tree groupings                    MUL-tree # 88 / 1187
# 03.13.2025  16:23:01  Collapsing gene tree groupings                    MUL-tree # 118 / 1187
# 03.13.2025  16:23:06  Collapsing gene tree groupings                    MUL-tree # 148 / 1187
# 03.13.2025  16:23:12  Collapsing gene tree groupings                    MUL-tree # 181 / 1187
